frame,id,x,y,vx,vy,ax,ay,v_mag,a_mag,v_angle,a_angle,diff_v_a_angle,diff_v_angle,diff_a_angle,class,holder,closest,selected,prev_holder,def_selected
0,1,76.49,46.59,-0.93,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,2,False,,False
0,2,91.68,47.74,-0.0,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,1,False,,False
0,3,94.91,32.96,-0.93,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,11,False,,False
0,4,94.3,28.41,-0.64,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,6,False,,False
0,5,93.6,38.41,-0.69,-0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,10,False,,False
0,6,95.45,29.57,-0.78,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,4,False,,False
0,7,80.25,28.28,-0.01,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,13,False,,False
0,8,76.54,49.03,-0.56,-0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,12,False,,False
0,9,80.39,46.43,-0.08,-1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,14,False,,False
0,10,77.61,15.64,-0.27,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,5,False,,False
0,11,84.17,42.3,-0.52,-0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,3,False,,False
0,12,80.81,40.7,0.43,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,True,8,False,,False
0,13,72.17,28.45,0.06,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,7,False,,False
0,14,83.66,46.45,-0.15,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,9,False,,False
0,15,80.81,40.7,0.43,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disc,False,0,False,,False
1,1,76.37,46.55,-1.4,-0.34,-4.68,-1.26,2.37,0.0,-114.88,0.0,114.88,-114.88,0.0,offense,False,2,False,,False
1,2,91.69,47.71,-0.1,-0.28,-1.01,-0.67,0.49,0.0,-52.25,0.0,52.25,-52.25,0.0,defense,False,1,False,,False
1,3,94.76,32.97,-1.38,-0.12,-4.45,-0.48,2.81,0.0,156.69,0.0,156.69,156.69,0.0,defense,False,11,False,,False
1,4,94.2,28.4,-0.99,-0.09,-3.51,-0.17,1.65,0.0,170.41,0.0,170.41,170.41,0.0,defense,False,6,False,,False
1,5,93.49,38.31,-0.89,-1.33,-2.02,-5.55,1.75,0.0,-152.63,0.0,152.63,-152.63,0.0,offense,False,10,False,,False
1,6,95.33,29.62,-1.12,0.25,-3.4,0.08,1.24,0.0,166.17,0.0,166.17,166.17,0.0,offense,False,4,False,,False
1,7,80.25,28.31,-0.04,0.41,-0.33,1.69,0.76,0.0,93.07,0.0,93.07,93.07,0.0,offense,False,13,False,,False
1,8,76.45,48.98,-0.72,-1.08,-1.67,-5.6,1.15,0.0,-132.7,0.0,132.7,-132.7,0.0,defense,False,12,False,,False
1,9,80.38,46.24,-0.15,-1.86,-0.7,-5.78,2.14,0.0,-86.91,0.0,86.91,-86.91,0.0,offense,False,14,False,,False
1,10,77.57,15.74,-0.4,0.92,-1.27,2.67,1.3,0.0,110.64,0.0,110.64,110.64,0.0,defense,False,5,False,,False
1,11,84.09,42.19,-0.69,-1.35,-1.71,-5.11,1.66,0.0,-135.3,0.0,135.3,-135.3,0.0,offense,False,3,False,,False
1,12,80.88,40.68,0.61,-0.24,1.83,-1.48,1.12,0.0,-29.3,0.0,29.3,-29.3,0.0,offense,True,8,False,,False
1,13,72.18,28.42,0.05,0.05,-0.09,0.96,0.79,0.0,-61.84,0.0,61.84,-61.84,0.0,defense,False,7,False,,False
1,14,83.65,46.51,-0.33,0.58,-1.77,1.89,1.61,0.0,94.44,0.0,94.44,94.44,0.0,defense,False,9,False,,False
1,15,80.88,40.68,0.61,-0.24,1.83,-1.48,1.12,0.0,-29.3,0.0,29.3,-29.3,0.0,disc,False,0,False,,False
2,1,76.21,46.52,-1.76,-0.42,-3.58,-0.77,2.16,2.59,175.36,116.48,58.88,290.25,116.48,offense,False,2,False,,False
2,2,91.68,47.67,-0.25,-0.34,-1.45,-0.53,0.66,0.26,-71.76,-111.63,39.88,-19.51,-111.63,defense,False,1,False,,False
2,3,94.63,32.94,-1.65,-0.22,-2.76,-1.02,2.47,0.53,165.6,-69.26,125.14,8.91,-69.26,defense,False,11,False,,False
2,4,94.1,28.39,-1.2,-0.2,-2.12,-1.08,1.16,0.68,-169.85,-44.57,125.28,-340.26,-44.57,defense,False,6,False,,False
